II III IV L O B MN BV CX AS LK JH GF ZD RE PO HELLOWORLD //YXFIIODPKY

I III II E B C AB CD EF GH IJ KL MN OP QR ST E //N

I V III C M S QA WS ED RF TG YH UJ IK OL MB V //M

V I III B A T PM IN UB YV TC RX AL KS JD HF BNRJIMPHS //IAMBATMAN

III IV V G I X TH EQ UI CK BR OW NF YX JZ MP XCAMEYWCDGPVWCZ /BINGOBANGOBONGO

I II III W I G AZ BY CX DW EV FU GT HS IR JQ SNYLVNJATZC //MASTERCHIEF

III I IV X O R QA WS ED RF TG YH UJ IK OL MB MYRVZJV //BOOLEAN

I IV II G D C AZ BY CX DW EV FU GT HS IR JQ SPTPBYXMTGL //CLAMCHOWDER

III I IV R A D QA WS ED RF TG YH UJ IK OL MB MJBKVCDCCEO //WONDERWOMAN

III II I N D O AZ BY CX DW EV FU GT HS IR JQ RQGMLJZFCE //BARRELROLL

I II III W D U AZ BY CX DW EV FU GT HS IR JQ JCWZFSNZIU //DRSPACEMAN

Encrypted: KJKRVCZFIQDUDHSBCGIKVJQEMBUXWBGOBEKMQIXFODK
